pageid,title,wikidata,label
16021807,Pavol Hamžík,Q3497276,Pavol Hamžík
25843777,Richard Sulík,Q586798,Richard Sulík
31234443,Igor Matovič,Q552706,Igor Matovič
38905276,Peter Kažimír,Q552534,Peter Kažimír
49703479,Boris Kollár,Q23022210,Boris Kollár
59516748,Matúš Vallo,Q12771236,Matúš Vallo
60065056,Zuzana Čaputová,Q26273268,Zuzana Čaputová
63218842,Jaroslav Naď,Q86755007,Jaroslav Naď
63477951,Veronika Remišová,Q26837632,Veronika Remišová
63493688,Roman Mikulec,Q88188383,Roman Mikulec
63886124,Eduard Heger,Q46227987,Eduard Heger
63886226,Mária Kolíková,Q56823084,Mária Kolíková
64186333,Natália Milanová,Q61748113,Natália Milanová
64827547,Ján Budaj,Q12027325,Ján Budaj
65488392,Ivan Korčok,Q3156132,Ivan Korčok
66926027,Andrej Doležal,Q88298109,Andrej Doležal
66926246,Milan Krajniak,Q54991677,Milan Krajniak
68191756,Daniel Zmeko,Q52110606,Daniel Zmeko
68229165,Vladimír Lengvarský,Q85421835,Vladimír Lengvarský
