wanted,position,positionid,from,start,end
Q467905,Minister of Foreign and European Affairs,Q62999858,Q3156132,2020-04-08,2021-03-24
Q88298109,Deputy Prime Minister,Q108048763,Q586798,2020-03-21,2021-03-23
Q88298109,Minister of Economy,Q108048767,Q586798,2020-03-21,2021-03-23
Q50827906,Minister of Health,Q89192431,Q17330556,2019-12-17,2020-03-21
Q1710078,Governor of the National Bank,Q109535611,Q552534,2019-06-01,
Q27990533,ambassador to France,Q66311098,Q21685708,2017,
Q18552949,Minister of Health,Q89192431,Q26250908,2016-03-23,2018-03-22
Q3014377,Deputy Prime Minister,Q108048763,Q1502209,2012-04-04,2018-03-12
Q3014377,Minister of Interior,Q57419167,Q1502209,2012-04-04,2018-03-12
Q3431152,Minister of Health,Q89192431,Q680582,2010-07-09,2012-04-03
Q725648,"Minister of Education, Science, Research and Sport",Q30133594,Q3059549,2010-07-08,2012-04-04
Q352039,Minister of Agriculture and Rural Development,Q25907399,Q168928,2007-11-28,2008-08-18
Q12049695,Minister of Health,Q89192431,Q3446761,2002-10-16,2006-07-04
Q7938842,ambassador to France,Q66311098,Q27990509,2002-01-22,2007-06
